Symbol,Price,Earning_Date,IV_Rank,IV_Pctl,Options_Vol,Smart_Score,Anlayst_Census,Best_Anlayst_Census,Earning_Call_Score,Nasdaq_Earning_Date,%_ImpliedMove_Historic,%_Expected_Move
ZM,85.17,2025-02-24,62.84%,94%,11992.0,6,4,4,85,2025-02-24,9.757,9.653
PEG,85.8,2025-02-25,,,,9,4,4,78,2025-02-25,4.335,6.128
PLNT,100.12,2025-02-25,,,,4,5,5,78,2025-02-25,10.585,10.196
WDAY,261.1,2025-02-25,76.59%,88%,15634.0,6,4,4,78,2025-02-25,8.987,9.326
CAVA,119.42,2025-02-25,79.20%,98%,41577.0,6,4,4,88,2025-02-25,10.511,13.669
INTU,582.19,2025-02-25,,,,8,4,5,80,2025-02-25,5.374,6.548
CCCS,10.58,2025-02-25,,,,4,4,5,82,2025-02-25,10.482,9.223
FLYW,19.01,2025-02-25,,,,6,5,5,88,2025-02-25,15.968,18.022
TJX,123.42,2025-02-26,79.81%,94%,6837.0,8,5,5,85,2025-02-26,4.256,4.957
URBN,55.85,2025-02-26,,,,6,4,4,84,2025-02-26,9.711,10.972
SNPS,500.98,2025-02-26,,,,7,5,5,85,2025-02-26,8.738,9.966
CPRX,22.53,2025-02-26,,,,4,5,5,85,2025-02-26,9.741,12.966
MGNI,19.08,2025-02-26,,,,7,5,5,80,2025-02-26,20.056,18.757
A,137.15,2025-02-26,,,,10,4,5,75,2025-02-26,7.428,7.349
FTI,30.78,2025-02-27,,,,6,5,4,85,2025-02-27,8.419,8.366
NCLH,27.0,2025-02-27,69.58%,89%,25463.0,8,4,4,85,2025-02-27,8.869,9.280
PAYO,10.65,2025-02-27,,,,8,4,4,82,2025-02-27,13.658,16.042
LFST,7.99,2025-02-27,,,,5,4,4,70,2025-02-27,14.391,12.674
NTRA,172.61,2025-02-27,,,,7,5,5,80,2025-02-27,12.965,14.727
AVPT,19.29,2025-02-27,,,,5,4,4,85,2025-02-27,9.459,15.391
ESTC,111.51,2025-02-27,,,,4,5,5,80,2025-02-27,18.415,17.196
SOUN,11.07,2025-02-27,34.86%,78%,144062.0,5,4,4,80,2025-02-27,22.271,20.257
ADSK,299.06,2025-02-27,61.95%,78%,8070.0,10,5,5,88,2025-02-27,5.717,6.923
EIX,52.42,2025-02-27,,,,4,4,4,80,2025-02-27,4.453,11.031
VTRS,10.93,2025-02-27,,,,7,4,4,75,2025-02-27,7.562,8.590
GTLB,69.82,2025-03-03,,,,7,5,5,80,2025-03-03,17.159,15.616
ANF,105.11,2025-03-05,65.62%,73%,12572.0,7,5,4,88,2025-03-05,14.122,14.749
MRVL,111.04,2025-03-05,75.76%,94%,58974.0,6,5,5,78,2025-03-05,9.806,12.854
VEEV,229.19,2025-03-05,,,,9,4,4,80,2025-03-05,8.908,10.361
HPE,21.85,2025-03-06,62.74%,90%,11327.0,7,4,4,85,2025-03-06,9.186,9.775
GAP,23.01,2025-03-06,46.61%,70%,9487.0,8,4,4,85,2025-03-06,4.792,13.151
DKS,230.96,2025-03-11,,,,9,4,4,80,2025-03-11,9.679,10.972
ADMA,16.07,2025-03-20,,,,9,4,4,85,2025-02-26,17.889,16.011
