SMBL,$,ER_Dt,RSI,ATR,P/S,HistMove,ExptMove,Scr,Rat1,Rat2,OptnVol,IvRank,Iv%ile,ER#
OKLO,38.79,3/6/2025,42.15,5.32,-,8.107,13.992,7,5,5,42887,46.70%,73%,78
SMR,19.04,3/3/2025,36.68,2.38,637.8,15.696,18.91,6,5,4,17636,62.92%,77%,58
OKTA,92.75,3/3/2025,45.38,3.02,6.12,12.638,12.855,6,4,4,6497,73.54%,88%,80
GTLB,64.12,3/3/2025,37.74,3.13,13.73,17.159,15.102,7,5,5,3725,58.87%,84%,80
ONON,48.44,3/4/2025,36.4,2.54,6.41,11.981,11.35,10,5,5,4558,71.46%,89%,80
BOX,33.47,3/4/2025,40.72,0.68,4.38,10.476,9.599,7,4,4,,,,78
CRDO,66.78,3/4/2025,37.17,6.86,37.58,20.231,28.132,6,5,5,4623,100.00%,100%,70
ROST,136.61,3/4/2025,44.48,2.9,2.18,6.81,7.037,7,4,4,,,,88
NFE,11.17,3/6/2025,26.76,0.71,1.12,13.551,15.234,5,4,4,,,,72
TGTX,30.88,3/3/2025,46.54,1.47,17.69,14.721,13.293,6,4,4,3641,68.29%,66%,75
ANF,100.11,3/5/2025,34.31,5.16,1.08,14.122,13.691,7,5,4,8509,77.97%,91%,88
MDB,273.26,3/5/2025,45.8,12.68,10.39,13.645,14.364,7,5,5,8123,77.72%,90%,80
KGS,43.7,3/5/2025,43.87,1.78,3.49,8.292,8.292,8,5,4,,,,75
VEEV,225.79,3/5/2025,45.06,6.17,13.7,8.908,10.081,9,4,4,,,,80
ZS,198.56,3/5/2025,45.1,7.1,13.1,11.028,11.367,10,5,5,9771,81.26%,91%,92
MRVL,103.81,3/5/2025,37.11,5.95,14.78,9.806,12.168,5,5,5,63659,95.94%,99%,78
BJ,101.49,3/6/2025,49.05,2.72,0.65,8.507,8.961,6,4,4,,,,79
BTSG,19.49,3/6/2025,36.1,0.84,0.32,12.111,16.561,6,5,5,,,,80
IOT,52.82,3/6/2025,37.5,2.48,22.69,16.041,15.609,7,4,4,5550,56.99%,84%,80
COO,88.48,3/6/2025,44.79,2.11,4.64,7.033,6.983,9,4,5,,,,82
HPE,21.14,3/6/2025,32.22,0.67,0.87,9.186,8.96,8,4,4,14971,68.09%,93%,85
AVGO,218.66,3/6/2025,37.06,10.33,18.13,7.306,9.38,9,5,5,282787,77.15%,98%,88
GAP,22.23,3/6/2025,45.76,0.84,0.56,4.792,12.503,8,4,4,5209,55.65%,75%,85
GWRE,203.71,3/6/2025,46.99,5.34,16.23,9.032,11.869,4,5,5,,,,80
RGTI,10.75,3/5/2025,38.32,1.5,172.4,29.682,16.263,9,5,5,74819,10.72%,39%,60
CIEN,84.08,3/11/2025,41.44,4.05,2.83,10.907,13.47,4,4,4,,,,80
FERG,176,3/11/2025,46.88,4.43,1.2,6.293,8.58,,5,5,,,,75
DKS,224.64,3/11/2025,43.73,7.1,1.37,9.679,10.463,9,4,4,,,,80
TGT,124.27,3/4/2025,38.08,3.17,0.53,7.855,9.03,4,4,4,27676,81.44%,90%,80
S,22.12,3/12/2025,32.35,0.89,8.61,15.492,14.299,8,4,4,,,,75
ADBE,444.32,3/12/2025,42.87,9.79,8.88,7.681,9.312,6,4,4,16540,98.57%,99%,80
SMTC,37.1,3/27/2025,36.56,3.86,3.87,18.656,17.351,6,5,5,,,,65
RBRK,69.7,3/13/2025,39.86,3.94,15.01,13.88,20.508,6,5,5,,,,75
LEGN,39.7,3/11/2025,42.69,1.87,12.35,10.361,10.879,7,5,5,,,,70
JBL,162.61,3/21/2025,38.5,4.09,0.62,9.32,11.7,7,5,5,,,,80
ORCL,167.81,3/10/2025,44.74,6.51,8.46,8.426,10.404,8,4,4,33066,100.00%,100%,85
TME,14.38,3/18/2025,47.31,0.68,2.21,10.672,12.191,7,5,4,,,,88
QFIN,41.94,3/11/2025,45.95,2.01,2.65,12.433,11.963,9,4,4,,,,88
