SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IvRank,Iv %ile,Scr,Rank,Rank+,Er #
ANF,USA,102.99,2025-03-05,28.72,5.52,1.01,14.122,13.874,13141.0,75.39%,86%,7,5,4,88
MDB,USA,267.43,2025-03-05,41.31,13.12,10.07,13.645,13.900,12572.0,76.05%,88%,7,5,5,78
KGS,USA,43.0,2025-03-05,37.91,1.87,3.33,8.292,10.657,,,,9,5,5,75
VEEV,USA,224.14,2025-03-05,39.52,6.26,13.38,8.908,10.879,,,,9,4,4,80
MRVL,USA,91.82,2025-03-05,33.22,6.10,13.81,9.806,12.322,91610.0,100.00%,100%,8,5,5,78
ZS,USA,196.23,2025-03-05,38.87,7.47,12.60,11.028,11.401,15403.0,84.00%,95%,9,5,5,92
BTSG,USA,19.28,2025-03-06,31.11,0.85,0.30,12.111,14.064,,,,6,5,5,80
BJ,USA,101.26,2025-03-06,44.80,2.88,0.64,8.507,8.852,,,,7,4,4,79
GAP,USA,22.61,2025-03-06,37.30,0.93,0.53,6.389,12.321,9241.0,72.15%,92%,7,4,4,85
COO,USA,90.38,2025-03-06,49.15,2.14,4.70,7.033,7.148,,,,9,4,5,82
HPE,USA,19.81,2025-03-06,27.01,0.71,0.83,9.186,8.852,17236.0,73.25%,96%,8,4,4,85
AVGO,USA,199.43,2025-03-06,32.03,10.98,17.03,7.306,9.967,278502.0,84.09%,99%,7,5,5,88
IOT,USA,47.68,2025-03-06,33.65,2.52,21.81,16.041,15.774,18373.0,58.91%,87%,6,4,4,80
KR,USA,64.82,2025-03-06,45.96,1.32,0.30,5.684,5.470,15792.0,97.02%,99%,6,4,4,72
CIEN,USA,79.57,2025-03-11,35.51,4.27,2.65,10.907,14.806,,,,4,4,4,80
FERG,USA,177.5,2025-03-11,41.62,4.64,1.17,6.293,8.691,,,,,5,5,75
LEGN,USA,35.01,2025-03-11,36.03,1.92,11.63,10.361,12.671,,,,7,5,5,70
DKS,USA,225.1,2025-03-11,36.02,7.74,1.30,9.679,10.845,,,,9,5,5,80
VIK,Bermuda,48.1,2025-03-11,43.36,1.89,4.01,8.021,11.481,,,,6,4,4,75
VNET,USA,11.73,2025-03-26,47.45,1.50,2.38,24.887,34.002,14961.0,24.92%,93%,9,4,4,80
S,USA,20.63,2025-03-12,29.94,0.91,8.40,15.492,13.929,9048.0,59.01%,89%,7,4,4,75
GDS,USA,38.05,2025-03-25,46.72,3.92,3.95,20.463,29.445,4941.0,80.45%,95%,7,5,4,80
ADBE,USA,438.56,2025-03-12,45.10,9.80,8.92,7.681,9.335,14120.0,98.37%,99%,7,4,4,80
FUTU,USA,109.19,2025-03-13,47.79,7.48,6.57,8.217,12.650,7230.0,56.89%,95%,6,4,4,85
RBRK,USA,65.12,2025-03-13,34.70,4.19,14.15,13.880,21.007,,,,6,5,5,75
JBL,USA,154.92,2025-03-21,29.07,4.61,0.58,9.320,12.054,,,,7,5,5,80
ORCL,USA,166.06,2025-03-10,41.30,6.47,8.25,8.426,10.091,35367.0,99.71%,99%,9,4,4,85
TME,USA,12.19,2025-03-18,48.78,0.66,2.24,10.672,13.169,,,,7,5,4,88
STNE,Cayman Islands,9.25,2025-03-18,45.52,0.39,2.75,10.284,12.942,11197.0,48.76%,98%,5,4,4,85
CNM,USA,51.01,2025-03-18,31.44,1.52,1.36,11.130,8.663,,,,7,4,4,72
OLLI,USA,103.51,2025-03-19,48.81,3.77,2.82,9.602,10.759,,,,6,4,4,85
MU,USA,93.63,2025-03-20,43.39,5.09,3.47,11.304,13.972,137958.0,87.36%,97%,7,5,5,70
ACN,Ireland,348.5,2025-03-20,27.32,8.48,3.25,6.067,7.492,,,,9,4,4,78
LUNR,USA,14.58,2025-03-24,33.14,2.09,9.91,17.449,36.683,84001.0,67.34%,93%,6,4,4,70
BRZE,USA,36.98,2025-03-26,28.63,1.89,6.44,16.016,17.769,,,,5,5,5,78
CHWY,USA,37.26,2025-03-19,45.66,1.56,1.28,13.550,12.807,19397.0,39.59%,75%,9,5,5,75
CCL,Panama,23.93,2025-03-26,36.86,1.06,1.20,8.400,11.998,82592.0,84.92%,92%,6,4,5,75
LULU,USA,365.61,2025-03-20,31.49,12.80,4.33,9.874,8.293,14193.0,81.32%,92%,9,4,4,88
STZ,USA,175.5,2025-04-10,45.50,5.10,3.11,3.710,0.000,10976.0,97.89%,99%,10,4,4,70
LEVI,USA,17.97,2025-04-02,41.53,0.68,1.07,7.756,12.768,,,,7,4,4,75
DAL,USA,60.12,2025-04-09,33.87,2.37,0.61,6.093,0.000,25746.0,100.00%,100%,6,5,5,85
JPM,USA,264.65,2025-04-11,45.01,5.82,2.58,3.236,0.000,57076.0,66.54%,94%,8,4,5,88
MS,USA,133.11,2025-04-15,40.76,3.68,1.97,3.448,0.000,21978.0,74.74%,99%,5,4,4,85
WFC,USA,78.32,2025-04-11,47.55,1.79,2.01,4.088,0.000,35781.0,66.83%,87%,6,4,4,80
STT,USA,99.23,2025-04-11,43.42,2.23,1.32,5.230,0.000,,,,4,4,4,85
C,USA,79.95,2025-04-15,42.08,2.21,0.85,3.596,0.000,175240.0,64.41%,94%,5,5,5,85
BAC,USA,46.1,2025-04-15,49.04,1.05,1.74,3.660,0.000,189170.0,60.18%,90%,8,5,5,82
PNC,USA,191.92,2025-04-15,41.72,4.15,2.21,3.861,0.000,4996.0,53.71%,62%,8,4,4,80
CFG,USA,45.77,2025-04-16,43.62,1.27,1.58,4.379,0.000,16806.0,55.18%,68%,6,4,4,80
ASML,USA,709.08,2025-04-16,40.39,22.92,8.88,6.032,0.000,15012.0,50.26%,64%,9,4,4,85
AA,USA,33.25,2025-04-16,30.35,1.53,0.66,4.278,0.000,27757.0,70.93%,90%,5,4,5,73
EFX,USA,245.2,2025-04-16,41.92,6.31,5.34,5.463,0.000,,,,7,5,5,70
DFS,USA,195.19,2025-04-16,46.79,6.14,2.02,3.771,0.000,,,,7,4,4,80
SNV,USA,51.88,2025-04-16,34.42,1.52,2.08,3.398,0.000,,,,9,4,4,75
LBRT,USA,17.27,2025-04-16,30.84,0.85,0.60,5.345,0.000,,,,7,4,4,72
KEY,USA,17.32,2025-04-17,43.18,0.49,2.04,4.626,0.000,6805.0,30.53%,31%,5,4,4,70
ALK,USA,72.28,2025-04-17,45.33,2.91,0.73,7.083,0.000,5100.0,97.46%,99%,9,5,5,85
PPG,USA,113.22,2025-04-17,38.17,2.64,1.46,3.979,0.000,,,,8,4,4,80
ISRG,USA,573.15,2025-04-17,43.44,15.85,24.21,5.903,0.000,4547.0,55.62%,65%,9,5,5,78
ALLY,USA,37.1,2025-04-17,35.28,1.13,0.66,6.757,0.000,,,,10,4,4,78
TSM,USA,180.53,2025-04-17,29.08,7.58,9.96,3.013,0.000,321132.0,53.07%,90%,10,5,5,85
BX,USA,161.16,2025-04-17,38.66,5.22,15.41,4.033,0.000,8081.0,84.08%,96%,8,4,4,90
INFY,USA,20.1,2025-04-17,21.28,0.39,4.31,4.935,0.000,,,,9,4,4,88
FNB,USA,14.84,2025-04-16,37.62,0.37,2.02,4.130,0.000,,,,8,5,5,88
FHN,USA,21.54,2025-04-16,44.01,0.58,2.18,5.189,0.000,,,,6,4,4,70
OMC,USA,82.76,2025-04-15,36.05,1.90,1.01,3.757,0.000,,,,8,4,4,88
NFLX,USA,980.56,2025-04-17,47.44,28.15,10.71,8.223,0.000,65374.0,42.83%,63%,7,4,4,85
IBKR,USA,204.4,2025-04-15,40.91,8.67,9.07,4.558,0.000,4699.0,100.00%,100%,7,5,5,92
UAL,USA,93.81,2025-04-15,36.07,4.74,0.53,6.531,0.000,27876.0,92.22%,98%,9,5,5,85
UNH,USA,474.96,2025-04-15,33.94,16.03,1.07,4.588,0.000,15334.0,63.85%,88%,8,5,5,76
NFE,USA,10.0,2025-03-06,22.37,0.78,1.01,13.551,14.381,15696.0,62.19%,83%,5,4,4,72
