SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,IV,IvRank,Iv %ile,OI,Scr,Rank,Rank+,Er #
SARO,USA,25.77,2025-03-10,42.12,0.90,1.73,3.528,11.942,13,59.98%  (  +4.77%),84.21%,29.52%,299,6,5,5,
ORCL,USA,148.84,2025-03-10,33.79,6.79,7.58,8.426,9.918,"31,345",55.74%  (  -0.91%),97.56%,58.61%,"692,760",9,4,4,85
CIEN,USA,65.20,2025-03-11,27.23,4.40,2.31,10.907,14.989,399,74.89%  (  +0.86%),100.00%,83.94%,"49,445",4,4,4,80
DKS,USA,205.32,2025-03-11,32.43,8.08,1.25,9.679,10.374,"6,176",56.93%  (  +0.41%),85.93%,31.66%,"59,653",8,5,4,88
LEGN,USA,34.04,2025-03-11,41.87,1.83,12.01,10.361,12.307,7,82.12%  (  +15.69%),66.64%,44.09%,"8,837",8,5,5,70
FERG,USA,164.01,2025-03-11,33.21,4.66,1.10,6.293,7.787,55,44.95%  (  +1.69%),100.00%,25.86%,"9,807",,5,5,75
VIK,Bermuda,42.94,2025-03-11,33.18,2.13,3.63,8.021,11.372,145,56.50%  (  +4.37%),96.63%,36.90%,"13,514",5,4,5,75
ADBE,USA,443.29,2025-03-12,47.58,10.20,8.96,7.681,8.991,"8,140",48.86%  (  -1.41%),94.79%,19.15%,"333,337",6,4,4,85
S,USA,19.30,2025-03-12,27.04,0.93,8.13,15.492,15.101,"2,750",75.13%  (  -0.34%),67.28%,35.65%,"183,834",5,4,4,75
DOCU,USA,76.86,2025-03-13,25.64,3.43,5.33,11.115,12.086,"1,552",61.87%  (  -1.96%),93.34%,30.77%,"111,833",7,4,5,85
SMTC,USA,30.12,2025-03-13,29.58,3.65,3.05,18.656,18.156,404,98.15%  (  -2.11%),84.46%,148.38%,"70,600",4,5,5,65
RBRK,USA,54.98,2025-03-13,28.78,4.24,12.67,13.880,21.495,719,102.22%  (  +1.41%),93.79%,54.40%,"36,989",6,5,5,75
UEC,USA,4.97,2025-03-18,30.60,0.40,122.19,5.192,9.583,"1,144",77.65%  (  +3.41%),86.74%,68.02%,"233,681",5,4,4,0
SIG,Bermuda,49.54,2025-03-19,37.07,2.84,0.31,10.865,14.777,238,76.35%  (  +0.48%),84.30%,44.16%,"29,122",4,4,4,65
CNM,USA,46.24,2025-03-19,24.22,1.58,1.28,11.130,9.025,137,53.62%  (  +0.40%),71.10%,23.10%,"10,063",6,4,4,72
OLLI,USA,98.12,2025-03-19,40.23,4.09,2.67,9.602,11.958,478,58.79%  (  +2.11%),100.00%,37.22%,"15,107",6,4,4,85
KBH,USA,63.29,2025-03-19,48.81,2.00,0.66,8.274,8.606,"1,203",47.37%  (  -1.96%),80.11%,34.54%,"60,480",6,4,4,80
ASO,USA,47.83,2025-03-20,35.16,1.91,0.55,9.822,10.732,158,60.40%  (  +4.83%),100.00%,28.93%,"23,512",7,4,4,60
JBL,USA,135.48,2025-03-20,23.08,4.67,0.54,9.320,12.640,258,51.53%  (  +0.47%),100.00%,35.19%,"36,919",8,5,5,80
FDX,USA,249.78,2025-03-20,38.63,6.41,0.69,8.815,8.811,"1,908",44.08%  (  -0.40%),57.72%,34.08%,"182,964",8,4,4,60
