SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
LEVI,USA,15.75,2025-04-07,38.72,0.54,0.98,7.756,10.608,197,34.81%,51.61%  (  +2.58%),87.64%,"39,438",8,4,4,78
DAL,USA,42.10,2025-04-09,27.16,2.45,0.44,6.093,10.078,"48,853",52.67%,55.25%  (  +1.78%),75.96%,"721,184",7,5,5,85
WFC,USA,70.63,2025-04-11,40.76,2.04,1.83,4.088,6.737,"14,690",32.44%,37.80%  (  +1.33%),71.27%,"1,098,836",7,4,4,85
BK,USA,82.72,2025-04-11,44.01,1.88,1.49,4.484,6.351,346,23.88%,33.44%  (  +3.30%),83.36%,"62,335",7,4,4,88
MS,USA,113.95,2025-04-15,36.60,4.01,1.77,3.448,7.539,"4,309",40.08%,38.85%  (  +1.73%),79.64%,"565,461",5,4,4,85
JPM,USA,240.43,2025-04-11,42.76,6.18,2.38,3.236,5.502,"12,287",29.38%,31.73%  (  +1.38%),72.31%,"677,924",9,4,5,90
MTB,USA,175.71,2025-04-14,39.20,4.26,2.15,4.436,7.243,22,22.93%,35.86%  (  +1.25%),91.18%,"9,431",8,4,4,70
GS,USA,535.41,2025-04-21,35.81,18.27,1.32,3.705,8.079,"8,593",35.16%,37.70%  (  +1.58%),84.64%,"247,271",6,4,4,85
C,USA,69.19,2025-04-15,37.50,2.16,0.76,3.596,7.562,"23,113",32.63%,38.09%  (  +1.44%),78.62%,"1,714,552",6,5,5,80
PNC,USA,172.78,2025-04-15,36.91,3.84,2.02,3.861,5.838,253,23.50%,29.64%  (  +0.75%),75.50%,"38,985",7,4,4,80
BAC,USA,41.06,2025-04-15,38.44,1.06,1.57,3.660,6.854,"44,683",30.83%,34.27%  (  +1.03%),90.02%,"2,442,750",6,5,5,80
IBKR,USA,162.18,2025-04-15,33.56,8.19,7.30,4.558,9.486,"1,564",56.29%,49.75%  (  +2.30%),75.10%,"53,841",8,5,5,90
FHN,USA,19.06,2025-04-16,41.70,0.57,1.96,5.189,7.864,3,34.82%,40.20%  (  +1.33%),78.88%,"35,527",4,4,4,70
FR,USA,54.10,2025-04-16,43.81,1.05,10.99,4.301,9.557,3,18.71%,35.71%  (  -3.30%),65.75%,179,5,4,4,85
REXR,USA,39.22,2025-04-16,43.84,1.01,9.59,3.774,6.071,30,22.96%,33.83%  (  +2.92%),58.99%,"13,992",8,4,4,76
HOMB,USA,28.09,2025-04-16,41.75,0.60,3.81,8.284,9.172,3,19.74%,40.98%  (  +1.12%),54.93%,606,7,4,4,80
CSX,USA,29.38,2025-04-16,37.34,0.60,3.83,3.550,5.359,323,23.03%,27.80%  (  +0.17%),47.54%,"132,399",8,4,4,65
SNV,USA,46.08,2025-04-16,38.41,1.53,1.89,3.398,8.427,17,34.71%,43.68%  (  +2.59%),79.79%,"10,070",7,4,4,75
FNB,USA,13.34,2025-04-16,36.19,0.34,1.86,4.130,9.763,50,25.63%,48.47%  (  +2.99%),39.48%,"4,390",5,5,5,87
AA,USA,29.85,2025-04-16,34.24,1.55,0.63,4.278,11.171,"7,158",50.82%,59.01%  (  +3.62%),91.39%,"232,083",4,4,5,73
LVS,USA,38.16,2025-04-16,26.04,1.34,2.42,4.343,7.216,"1,590",30.29%,43.81%  (  +2.14%),97.46%,"243,875",7,4,5,80
ASML,USA,654.88,2025-04-16,34.13,20.98,8.43,6.032,9.373,"4,848",40.08%,47.69%  (  +2.36%),79.69%,"139,464",7,4,4,82
