SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
MS,USA,111.70,2025-04-15,45.17,6.53,-4.12%,1.74,3.448,7.895,"39,557",61.73%,47.53%  (  -24.36%),54.38%,"633,787",6,4,4,85
BK,USA,79.35,2025-04-11,44.86,3.28,5.50%,1.43,4.484,6.528,"3,088",43.43%,42.18%  (  -22.85%),55.35%,"73,794",8,4,4,88
JPM,USA,234.34,2025-04-11,47.04,10.51,1.28%,2.32,3.236,4.972,"116,845",47.44%,40.76%  (  -17.30%),58.84%,"762,399",7,4,4,90
WFC,USA,66.33,2025-04-11,41.72,3.39,0.16%,1.72,4.088,5.985,"115,357",51.13%,44.14%  (  -9.87%),58.78%,"1,246,146",8,4,4,85
GS,USA,516.87,2025-04-14,43.39,30.14,-5.09%,1.27,3.705,7.926,"52,777",59.06%,46.20%  (  -20.25%),58.40%,"297,048",4,4,4,85
C,USA,64.15,2025-04-15,40.24,3.76,-5.67%,0.71,3.596,8.285,"232,786",59.40%,48.98%  (  -18.39%),60.94%,"1,857,671",7,5,5,80
JNJ,USA,150.97,2025-04-15,37.17,4.42,-3.57%,4.10,2.659,4.399,"65,459",29.96%,27.50%  (  -7.66%),66.15%,"492,308",9,4,4,75
PNC,USA,160.23,2025-04-15,38.14,7.08,-13.45%,1.87,3.861,6.122,"2,606",43.33%,38.24%  (  -16.10%),54.46%,"43,276",9,4,4,85
BAC,USA,37.15,2025-04-15,37.46,1.94,-12.74%,1.42,3.660,7.578,"444,875",54.42%,44.01%  (  -17.14%),59.95%,"2,868,648",7,5,5,80
ACI,USA,21.30,2025-04-15,48.95,0.67,7.68%,0.15,6.681,6.309,"3,427",35.28%,39.79%  (  -6.38%),29.62%,"125,983",10,5,5,80
UAL,USA,70.83,2025-04-15,46.97,6.60,-3.80%,0.41,6.531,11.960,"59,687",103.12%,72.32%  (  -31.90%),56.09%,"666,676",6,5,4,85
IBKR,USA,170.72,2025-04-15,48.74,11.65,5.63%,7.68,4.558,8.113,"4,935",78.79%,52.67%  (  -27.59%),53.24%,"63,523",9,5,5,90
ABT,USA,127.04,2025-04-16,45.61,3.74,8.25%,5.25,3.897,5.919,"13,515",28.19%,32.56%  (  -9.34%),65.16%,"213,034",8,5,5,85
