SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector
CLBT,Israel,20.12,2025-05-14,57.65,0.76,5.95%,12.01,13.766,10.574,"5,023",40.65%,56.35%  (  -2.50%),40.53%,"8,752",8,5,5,80,Software - Infrastructure
DT,USA,50.54,2025-05-14,66.55,1.47,-2.78%,9.26,11.347,9.008,"22,380",46.95%,45.49%  (  +3.68%),52.95%,"47,570",4,4,5,80,Software - Application
GLBE,Israel,42.39,2025-05-14,72.07,1.86,-0.23%,9.54,15.562,11.736,"4,575",88.64%,62.02%  (  +0.76%),51.58%,"91,155",5,5,5,82,Internet Retail
SRRK,USA,31.40,2025-05-14,49.60,2.00,9.94%,-,15.615,12.421,694,85.13%,92.63%  (  +1.84%),35.13%,"21,270",9,5,5,75,Biotechnology
NXT,USA,54.09,2025-05-14,76.49,2.68,33.89%,2.84,15.801,11.927,"43,646",58.95%,67.58%  (  -5.78%),53.29%,"76,588",8,5,4,85,Solar
CSCO,USA,61.78,2025-05-14,67.75,1.34,8.91%,4.54,5.555,5.032,"70,385",41.88%,27.33%  (  +0.19%),48.34%,"1,048,721",9,5,5,85,Communication Equipment
BOOT,USA,135.10,2025-05-14,75.44,6.86,-0.53%,2.24,10.962,9.803,"2,522",84.56%,59.10%  (  -3.49%),49.28%,"18,169",9,5,5,85,Apparel Retail
WMT,USA,95.88,2025-05-15,53.59,2.23,10.03%,1.13,4.946,5.315,"128,122",37.08%,32.65%  (  +1.75%),54.12%,"1,727,594",9,5,5,88,Discount Stores
NTES,USA,106.40,2025-05-15,55.20,2.70,14.24%,4.62,6.111,5.628,"1,302",38.78%,41.64%  (  -0.53%),32.01%,"45,610",8,5,5,84,Electronic Gaming & Multimedia
BABA,USA,131.65,2025-05-15,62.14,4.70,29.17%,2.31,5.287,6.061,"168,114",61.80%,48.56%  (  +0.19%),42.81%,"2,477,928",9,5,5,88,Internet Retail
BEKE,USA,20.00,2025-05-15,48.39,0.83,5.71%,1.77,7.789,7.557,"12,297",49.05%,47.60%  (  -7.97%),14.67%,"496,345",8,5,5,80,Real Estate Services
