SMBL,Country,$$,Er Date,RSI,ATR,SMA 200,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #,Sector,Correlated
OLLI,,110.30,2025-06-03,46.40,4.57,6.61%,2.98,9.487,10.858,,,,,,,,,,Discount Stores,
SIG,,74.38,2025-06-03,71.71,3.18,0.20%,0.46,11.456,13.857,,,,,,,,,,Luxury Goods,
FERG,,210.25,2025-06-03,80.08,5.84,13.35%,1.40,6.843,6.289,,,,,,,,,,Industrial Distribution,
DG,,113.32,2025-06-03,75.75,3.61,34.98%,0.61,9.685,8.968,,,,,,,,,,Discount Stores,
HQY,,104.75,2025-06-03,69.94,3.26,12.79%,7.53,8.477,10.564,,,,,,,,,,Health Information Services,
CRWD,,488.17,2025-06-03,69.26,16.55,37.61%,30.78,9.624,7.286,,,,,,,,,,Software - Infrastructure,
MDB,,192.83,2025-06-04,60.46,6.89,-21.44%,7.86,13.517,13.751,,,,,,,,,,Software - Infrastructure,
PVH,,82.54,2025-06-04,55.52,3.14,-7.56%,0.46,11.576,11.343,,,,,,,,,,Apparel Manufacturing,
TTC,,76.26,2025-06-05,58.59,1.72,-4.86%,1.66,8.538,7.845,,,,,,,,,,Tools & Accessories,
CIEN,,83.00,2025-06-05,68.78,2.66,16.74%,2.92,11.459,11.251,,,,,,,,,,Communication Equipment,
AVGO,,255.36,2025-06-05,80.83,8.02,32.34%,22.02,7.327,7.157,,,,,,,,,,Semiconductors,
RBRK,,98.67,2025-06-05,80.66,3.55,70.34%,21.52,19.038,19.204,,,,,,,,,,Software - Infrastructure,
IOT,,45.74,2025-06-05,56.06,1.59,-0.35%,20.88,16.060,13.659,,,,,,,,,,Software - Infrastructure,
LULU,,336.14,2025-06-05,68.00,10.38,5.27%,3.98,9.756,9.357,,,,,,,,,,Apparel Retail,
RH,,176.79,2025-06-05,41.91,12.15,-42.01%,1.04,13.375,17.646,,,,,,,,,,Specialty Retail,
CNM,,59.13,2025-06-10,69.92,1.78,20.13%,1.57,11.133,10.273,,,,,,,,,,Industrial Distribution,
ASO,,42.53,2025-06-10,53.61,1.69,-15.30%,0.48,9.674,10.610,,,,,,,,,,Specialty Retail,
GTLB,,46.58,2025-06-10,45.85,2.04,-15.71%,10.12,15.728,14.357,,,,,,,,,,Software - Infrastructure,
CHWY,,47.77,2025-06-11,82.94,1.44,41.67%,1.67,12.474,10.230,,,,,,,,,,Internet Retail,
SAIL,,17.81,2025-06-11,49.11,0.87,-8.15%,11.49,4.186,14.073,,,,,,,,,,Software - Infrastructure,
ADBE,,412.12,2025-06-12,59.86,9.03,-10.16%,7.97,7.904,8.707,,,,,,,,,,Software - Application,
KR,,67.24,2025-06-12,42.69,1.57,9.02%,0.30,5.659,5.948,,,,,,,,,,Grocery Stores,
UEC,,6.32,2025-06-16,60.93,0.43,0.07%,40.57,7.862,0.000,,,,,,,,,,Uranium,
ORCL,,168.96,2025-06-17,70.28,4.23,4.21%,8.49,8.738,8.453,,,,,,,,,,Software - Infrastructure,
JBL,,172.18,2025-06-19,74.30,4.45,24.50%,0.67,9.422,8.697,,,,,,,,,,Electronic Components,
CCL,,23.95,2025-06-19,67.70,0.79,10.06%,1.22,7.658,9.730,,,,,,,,,,Travel Services,
ACN,,313.03,2025-06-20,50.97,6.18,-8.55%,2.91,6.507,6.875,,,,,,,,,,Information Technology Services,
DRI,,217.06,2025-06-20,67.60,4.30,19.49%,2.16,5.712,6.286,,,,,,,,,,Restaurants,
NKE,,62.28,2025-06-26,54.55,1.96,-15.22%,1.92,8.788,10.040,,,,,,,,,,Footwear & Accessories,
STZ,,177.07,2025-07-01,38.56,4.41,-16.04%,3.09,4.822,8.341,,,,,,,,,,Beverages - Brewers,
JEF,,49.29,2025-07-01,48.55,1.68,-22.20%,1.04,6.905,10.867,,,,,,,,,,Capital Markets,
LEVI,,17.04,2025-07-03,49.39,0.58,-3.11%,1.06,11.877,12.195,,,,,,,,,,Apparel Manufacturing,
DAL,,49.19,2025-07-10,56.11,1.78,-8.14%,0.52,7.622,0.000,,,,,,,,,,Airlines,
PGR,,287.22,2025-07-10,58.35,6.18,11.55%,2.14,2.117,0.000,,,,,,,,,,Insurance - Property & Casualty,
C,,76.49,2025-07-15,64.58,1.73,10.19%,0.85,3.872,0.000,,,,,,,,,,Banks - Diversified,
JPM,,266.38,2025-07-15,64.64,5.01,11.15%,2.60,3.712,0.000,,,,,,,,,,Banks - Diversified,
BK,,89.51,2025-07-15,64.34,1.64,13.11%,1.60,4.597,0.000,,,,,,,,,,Banks - Diversified,
WFC,,75.57,2025-07-15,60.93,1.66,9.91%,1.98,4.664,0.000,,,,,,,,,,Banks - Diversified,
STT,,97.04,2025-07-15,62.42,2.09,5.19%,1.30,5.123,0.000,,,,,,,,,,Asset Management,
CFG,,40.78,2025-07-16,56.69,1.04,-4.21%,1.45,4.430,0.000,,,,,,,,,,Banks - Regional,
MS,,128.82,2025-07-16,60.12,3.06,7.12%,1.94,3.772,0.000,,,,,,,,,,Capital Markets,
PNC,,176.43,2025-07-16,59.26,3.70,-4.49%,2.09,3.948,0.000,,,,,,,,,,Banks - Regional,
BAC,,44.69,2025-07-16,65.43,0.96,4.57%,1.70,3.880,0.000,,,,,,,,,,Banks - Diversified,
JNJ,,154.85,2025-07-16,52.88,2.61,-1.10%,4.17,2.634,0.000,,,,,,,,,,Drug Manufacturers - General,
GS,,604.04,2025-07-16,59.14,15.03,7.83%,1.47,4.520,0.000,,,,,,,,,,Capital Markets,
MTB,,182.62,2025-07-16,55.52,4.12,-1.67%,2.22,4.912,0.000,,,,,,,,,,Banks - Regional,
FNB,,13.92,2025-07-16,52.21,0.36,-4.12%,1.93,5.957,0.000,,,,,,,,,,Banks - Regional,
KMI,,28.63,2025-07-16,63.18,0.59,9.86%,4.11,3.613,0.000,,,,,,,,,,Oil & Gas Midstream,
NDAQ,,83.88,2025-07-16,69.80,1.46,9.18%,6.16,5.897,0.000,,,,,,,,,,Financial Data & Stock Exchanges,
NFLX,,1219.51,2025-07-16,68.78,26.81,35.87%,13.02,8.268,0.000,,,,,,,,,,Entertainment,
STLD,,136.63,2025-07-16,59.39,4.95,7.50%,1.18,6.518,0.000,,,,,,,,,,Steel,
KNX,,45.04,2025-07-16,58.02,1.42,-10.85%,0.98,8.756,0.000,,,,,,,,,,Trucking,
ELV,,377.62,2025-07-16,40.41,13.24,-12.48%,0.47,7.043,0.000,,,,,,,,,,Healthcare Plans,
BKR,,37.57,2025-07-16,51.09,1.04,-6.32%,1.34,7.460,0.000,,,,,,,,,,Oil & Gas Equipment & Services,
ASML,,746.33,2025-07-16,57.70,18.72,1.45%,8.91,6.120,0.000,,,,,,,,,,Semiconductor Equipment & Materials,
